date,token_symbol,price_usd,cex_volume_usd,dex_volume_usd,dex_pool_count,dex_list,token_group,total_volume_usd,dex_share,return_1d,future_return_1d,future_return_3d,future_return_7d,future_return_14d,mom_7d,mom_14d,mom_30d,mom_7d_skip_1d,reversal_1d,realized_vol_14d,momentum_vol_adj_7d,log_cex_volume,log_dex_volume,log_total_volume,log_cex_dex_ratio,cex_vol_z,dex_vol_z,total_vol_z,cex_dex_ratio_z,dex_share_z,cex_vol_growth_7d,dex_vol_growth_7d,total_vol_growth_7d,dex_share_change_7d,volume_divergence,volume_growth_divergence_7d,joint_vol_z_mean,cex_dex_z_product,dex_share_x_dex_vol_z,cex_volume_confirmed_mom_7d,dex_volume_confirmed_mom_7d,joint_volume_confirmed_mom_7d,dex_share_confirmed_mom_7d,cex_dex_confirmation,volume_state
2026-01-01,AAVE,18.0505414,42061624.367,558262.5883,1,mock_uniswap_v3,defi,42619886.955299996,0.013098640756262664,,-0.004468466524777059,-0.030203576054511072,0.020788788639879652,0.19690448675406502,,,,,,,,17.554646371500727,13.232586510292869,17.56783155570825,4.322059861207857,,,,,,,,,,,,,,,,,,,0,both_low_or_normal
2026-01-02,AAVE,17.96988316,34299980.0646,678231.435,1,mock_uniswap_v3,defi,34978211.4996,0.019390111898881852,-0.004468466524777059,-0.0002482141903920043,-0.002949134923590724,0.06317260885295606,0.22892574667135457,,,,,0.004468466524777059,,,17.350655360083536,13.427245332655422,17.370235925608682,3.9234100274281154,,,,,,,,,,,,,,,,,,,0,both_low_or_normal
2026-01-03,AAVE,17.96542278,44789138.1885,487572.0622,1,mock_uniswap_v3,defi,45276710.250700004,0.01076871662053808,-0.0002482141903920043,-0.02560876443788329,0.011305340402347985,0.09274583962782734,0.2285213663087533,,,,,0.0002482141903920043,,,17.61747623916647,13.097195429369963,17.62830335783228,4.520280809796508,,,,,,,,,,,,,,,,,,,0,both_low_or_normal
2026-01-04,AAVE,17.5053505,40377451.81,483995.488,1,mock_uniswap_v3,defi,40861447.298,0.011844795522543559,-0.02560876443788329,0.023509215082554213,0.05085078644954866,0.1277172919216898,0.2766423488635663,,,,,0.02560876443788329,,,17.51378208837392,13.089832929474095,17.525697592100027,4.423949158899824,,,,,,,,,,,,,,,,,,,0,both_low_or_normal
2026-01-05,AAVE,17.91688755,36001787.542,923217.8665,1,mock_uniswap_v3,defi,36925005.4085,0.025002511341202908,0.023509215082554213,0.014044875221645325,0.028403523691256316,0.15166573783625714,0.30444448483464437,,,,,-0.023509215082554213,,,17.39907917690851,13.735621610510696,17.424399559936205,3.6634575663978146,,,,,,,,,,,,,,,,,,,0,both_low_or_normal
2026-01-06,AAVE,18.168528,41882589.3036,558294.7544,1,mock_uniswap_v3,defi,42440884.058,0.013154644791023453,0.014044875221645325,0.012493215740978059,0.051548455659148784,0.14696456862107943,0.2618709319764376,,,,,-0.014044875221645325,,,17.55038079266521,13.232644126755835,17.56362272582814,4.317736665909376,,,,,,,,,,,,,,,,,,,0,both_low_or_normal
2026-01-07,AAVE,18.39551134,27009038.3871,586517.6702,1,mock_uniswap_v3,defi,27595556.0573,0.021254062392587498,0.012493215740978059,0.001645996647788639,0.06719735250371128,0.12598774870478824,0.30584524974667016,,,,,-0.012493215740978059,,,17.111682160053043,13.281959779817083,17.13316534154454,3.8297223802359612,,,,,,,,,,,,,,,,,,,0,both_low_or_normal
2026-01-08,AAVE,18.42579029,36533672.876,310275.3537,1,mock_uniswap_v3,defi,36843948.2297,0.0084213383366413,0.001645996647788639,0.03686665588333926,0.07138343318244722,0.1725290286042871,0.3518134222724838,0.020575650632597326,,,,-0.001645996647788639,0.01591300621691504,1.2930083952789535,17.41374496518999,12.64521864289208,17.42220196310918,4.768526322297913,,,,,,,,,-0.004677302419621363,,,,,,,,,,0,both_low_or_normal
2026-01-09,AAVE,19.10508756,33520995.5809,401795.7524,1,mock_uniswap_v3,defi,33922791.3333,0.011844418946903724,0.03686665588333926,0.027560901688952866,0.08004035339788818,0.15590425904334348,0.33677912492121553,0.06125746515515275,,,0.020575650632597326,-0.03686665588333926,0.0189729584805099,3.228672282083993,17.32768256406997,12.903701648702134,17.33959768664659,4.423980915367839,,,,,,,,,-0.007545692951978128,,,,,,,,,,0,both_low_or_normal
2026-01-10,AAVE,19.631641,39073742.0811,488244.5987,1,mock_uniswap_v3,defi,39561986.679800004,0.012341255828522213,0.027560901688952866,0.005574952190700699,0.06148323922590082,0.12425169857170903,0.301746997614718,0.08869364750428162,,,0.06125746515515275,-0.027560901688952866,0.018991610357692017,4.670148862250575,17.480961266923998,13.098573834258971,17.493379308143115,4.382387432665026,0.3333666373444821,-0.25953183826053694,0.32330564726545225,0.36435515274102254,-0.44733512668062425,,,,0.001572539207984133,-0.5928984756050191,,0.03691739954197257,-0.0865192562047472,-0.003202948811619936,0.029567503022319176,-0.023018825378818292,0.0032743388217504423,-0.03967578404209445,0,both_low_or_normal
2026-01-11,AAVE,19.74108646,32686804.6571,489672.0786,1,mock_uniswap_v3,defi,33176476.7357,0.014759616655528756,0.005574952190700699,0.04524467596096038,0.04923913088418752,0.13205885731174716,0.28702689041360907,0.12019549393449082,,,0.08869364750428162,-0.005574952190700699,0.01794915159077431,6.696444304156979,17.302482057716002,13.101493260888217,17.31735168084386,4.200988796827786,-0.8138939567237878,-0.23838390573147591,-0.8288777267118149,-0.15797932611425022,0.008600612507529524,,,,0.0029148211329851972,0.5755100509923119,,-0.5261389312276319,0.19401922025506138,-0.0035184550654442886,-0.09782638613871278,-0.028652671295427843,-0.06323952871707031,0.0010337548684816707,0,both_low_or_normal
2026-01-12,AAVE,20.63426552,49254350.4798,258099.4671,1,mock_uniswap_v3,defi,49512449.9469,0.0052128195509775965,0.04524467596096038,0.009905482693429946,0.04703382677029744,0.1326589321702205,0.2529718358494788,0.14120936204143605,,,0.12019549393449082,-0.04524467596096038,0.020210854047932894,6.986808261864546,17.712508276599102,12.461104195468724,17.717734730190283,5.251404081130378,1.6568709296669617,-1.9356814237087772,1.6389032263550474,2.161575812531948,-1.5772197312233263,,,,-0.01978969179022531,-3.592552353375739,,-0.13940524702090773,-3.2071742800394296,-0.010090357969973263,0.23396568696327272,-0.2733363389573751,-0.019685325997051185,-0.22271819204521115,0,cex_only
2026-01-13,AAVE,20.83865788,39408663.546,540297.8534,1,mock_uniswap_v3,defi,39948961.399399996,0.013524703383355416,0.009905482693429946,-0.006024259370392748,0.05974445221805236,0.10018301044251321,0.2419916781128133,0.1371189471915423,,,0.14120936204143605,-0.009905482693429946,0.01928395478551127,7.110520052378711,17.489496262426016,13.199877697675547,17.503113257358667,4.289618564750468,0.26688472341823466,0.261186193293817,0.27039254177057903,-0.10472468939831796,-0.06975477603267252,,,,0.0003700585923319625,-0.005698530124417678,,0.2640354583560258,0.06970660495788192,0.003532465792126608,0.03659495229661429,0.03581357584541485,0.03620426407101457,-0.009564701451181884,0,both_low_or_normal
2026-01-14,AAVE,20.7131204,32136080.0961,428668.2241,1,mock_uniswap_v3,defi,32564748.3202,0.013163566316712356,-0.006024259370392748,0.0430477674430938,0.06555194551951726,0.15973308879139236,0.2717349627340553,0.11866064928955765,,,0.1371189471915423,0.006024259370392748,0.019143087759434917,6.198615958967968,17.285489978546202,12.968440861112457,17.298740952104055,4.3170491174337435,-0.9711992697443961,-0.43991277510536964,-0.9956885765961825,-0.0358842470510491,-0.1333064595701124,-0.014393601419771503,-0.38246550418706393,-0.019269745307291284,-0.008090496075875142,0.5312864946390264,-0.3680719027672924,-0.7055560224248829,0.42724296593356575,-0.005790820988668502,-0.11524313593741428,-0.052200335524774315,-0.0837217357310943,-0.0158182310470817,0,both_low_or_normal
